species_code,audio,photo,video
abetow,20,117,0
acafly,1395,3055,23
accipi,0,74,0
acowoo,0,102,0
acowoo1,0,2,0
afcdov1,0,97,0
afrcod1,2,146,0
agwtea1,13,384,1
aldfly,959,2763,20
allhum,0,4,0
altori,0,1,0
amazon,0,4,0
ambduc,4,1950,0
ameavo,21,8698,26
amebit,272,4228,5
amecoo,5,386,0
amecro,378,5333,6
amegfi,697,20504,10
amekes,62,9011,2
amekes1,0,31,0
amepip,48,2263,1
amered,1288,19653,17
amerob,959,28291,20
amerob1,1,16,4
amerob3,0,14,0
amewig,39,4921,3
amewoo,1542,3954,55
amgplo,20,3421,12
amhgul1,69,10486,5
ammosp1,1,0,0
amtspa,157,6303,2
amwpel,2,21069,44
anas1,0,2,0
anhing,0,4,0
archil1,0,10,0
arcloo,0,56,3
arcter,0,302,1
astfly,0,64,0
atlbra1,0,3,0
attwoo1,6,118,0
attwoo4,2,25,0
audwar,0,143,0
aythya1,0,69,0
babwar,215,11224,14
bacspa,0,1,0
bahgoo,0,9,0
baisan,7,4689,11
baispa,0,3,0
baleag,110,31459,73
balori,1071,33388,42
banswa,76,4949,11
bargol,0,233,0
bargoo,0,837,1
barowl8,0,18,0
barswa,202,17018,7
barswa2,0,4,0
barswa5,28,694,4
batgod,0,11,0
batgod2,0,11,0
batpig1,0,24,0
bawori1,0,1,0
bawwar,519,13910,11
baymac,0,2,0
bbwduc,7,3528,1
bcnher,57,12052,4
bearee1,1,0,0
belkin1,160,10177,5
belvir,1061,2447,6
belvir1,59,100,0
bewswa1,0,2,0
bewwre,14,29,1
bicthr,0,9,0
bird1,385,213,3
bkbcuc,563,5895,19
bkbmag1,15,369,0
bkbplo,22,5014,18
bkbwar,562,16512,6
bkbwhd1,1,85,0
bkbwoo,47,817,5
bkcchi,795,14519,14
bkchum,0,18,0
bkcnih2,0,40,0
bkcnih3,0,1,0
bkhgro,1,53,0
bkhgul,1,609,3
bkhpar,1,3,0
bklkit,0,361,1
bklkit1,0,4,0
bknsti,85,11474,21
bknsti1,1,273,1
bkpwar,290,6811,5
bktgul,2,627,6
bktspa,2,87,0
blacat1,0,1,0
blackb,15,255,0
blbgra1,0,9,0
blksco2,0,507,0
blkski,0,5,0
blkswa,0,51,0
blkswi,0,10,0
blkter,154,8989,16
blkter2,0,29,0
blkvul,0,586,1
blnswa2,0,4,0
bluebi,0,2,0
blufin1,0,10,0
blugrb1,675,6339,9
blujay,763,10504,9
bnhcow,364,13534,7
bnhnut,1,0,0
boboli,550,12855,35
bohwax,30,925,6
bongul,58,12453,25
borchi2,32,419,1
borowl,2,24,0
borowl2,0,6,0
boupar2,0,1,0
brambl,0,24,0
brant,0,175,0
brbhum,1,342,0
brdowl,743,6863,8
brebla,92,5015,16
brespa,0,8,0
brewar,26,1238,1
britit,0,1,0
brnboo,0,315,4
brnboo2,0,19,0
brncre,325,7015,5
brncre3,2,4,0
brnowl,13,300,0
brnpel,0,535,4
brnthr,963,11521,19
bruwat1,0,6,0
brwhaw,349,8679,8
brwhaw1,2,60,0
btbwar,337,8624,13
btnwar,564,11976,10
btywar,0,298,0
bubhum,0,3,0
bubsan,0,2337,9
bubtan2,0,1,0
budger,0,22,0
budger1,1,86,0
buffle,13,9869,3
buggna,378,12130,1
buggna1,28,217,0
bugtan1,0,1,0
buhvir,454,5735,4
bulori,4,315,0
buntin,1,7,0
burowl,2,210,1
burowl2,0,8,0
buteo,0,116,0
buwtea,102,18108,8
buwwar,663,7781,1
bwxtea1,0,290,0
cacgoo1,8,2140,0
calgul,1,580,0
calgul1,0,1,0
calgul2,0,5,0
calhum,0,9,0
calidr,0,399,4
calidr1,0,158,0
camwar,217,12572,3
cangoo,340,31896,9
cangoo1,0,33,0
cangoo4,13,197,0
canvas,2,3664,4
canwar,710,7849,10
carchi,12,42,0
carcoo1,0,13,0
carwre,1006,3942,5
carwre1,4,12,0
casfin,0,6,0
casgul2,0,2,0
caskin,0,433,4
casspa,0,27,0
caster1,104,13791,11
categr1,0,3208,1
categr2,0,6,0
cathus,7,92,0
cedwax,237,17845,9
cerwar,982,5209,2
chclon,0,4,0
chicka1,0,4,0
chirav,0,3,0
chispa,755,12464,6
chiswi,187,2544,7
chswar,807,16472,8
chukar,0,294,1
chwwid,192,297,3
cintea,1,1938,5
cintea1,0,16,2
clagre,1,218,0
clcrob,2,0,0
clcspa,669,8213,12
cliswa,125,6060,19
cliswa2,12,108,1
cobhaw,0,1,0
cockat1,0,10,0
comcra,0,15,0
comeid,0,28,0
comeid1,0,2,0
comgal1,223,7515,9
comgol,28,4683,5
comgra,234,15770,15
comgra1,0,3,0
comgra2,15,552,1
comloo,358,16121,20
commer,20,8026,1
commer1,2,229,0
commoo2,0,29,0
comnig,334,5895,6
compea,0,18,0
comqua1,0,8,0
comrav,343,1735,2
comred,39,3242,5
comred1,0,276,0
comred3,2,75,0
comred4,0,29,0
comshe,0,144,0
comsni,0,1,0
comter,87,5944,14
comter1,0,34,2
comter2,0,3,0
comyel,1187,17115,9
comyel1,0,1,0
comyel3,0,10,0
conpea1,0,2,0
conwar,1210,1960,56
coohaw,267,11687,14
cormor1,0,37,0
coturn1,0,3,0
coukin,0,4,0
crecar1,0,223,0
crow,3,47,1
cubthr,0,45,0
cursan,0,409,0
cxbgol1,0,10,0
dabduc1,0,60,0
daejun,253,6625,2
daejun1,3,1432,0
daejun3,0,7,0
daejun5,0,236,0
daejun8,0,3,0
dawsco,0,5,0
dendro3,0,14,0
diadov1,0,3,0
dickci,1283,14932,40
diurap1,2,28,0
doccor,12,14021,10
domgoo1,0,379,0
dove1,0,10,0
dowitc,0,624,0
dowwoo,314,15333,30
dowwoo1,35,470,0
duck1,11,629,0
dunlin,39,11473,20
dunlin2,0,4,0
dusfly,0,1,0
eagle1,0,26,0
eargre,1,3055,11
easblu,316,22014,11
easblu1,3,36,7
easkin,348,25274,32
easmea,755,10161,7
easmea2,55,255,1
easowl1,228,6035,5
easpho,499,16053,15
eassco1,11,91,1
eastow,1445,11214,10
eastow1,30,45,0
easwpw1,1155,1879,14
eawpew,858,10515,9
eawvir1,87,486,0
egwtea1,0,39,1
egygoo,0,43,0
eider,0,2,0
empgoo,0,1,0
empido,36,894,0
emu1,0,4,0
erthaw1,22,796,2
eucdov,108,3104,2
eugplo,0,3,0
eurbla2,0,1,0
eurgol,49,1724,1
eurgol2,0,2,0
eurgre1,0,32,0
eursta,108,6279,2
eurwig,0,1529,2
eutspa,43,2365,1
evegro,81,2578,2
evegro1,2,13,0
evegro3,22,22,0
ewcspa1,8,301,0
falcon,0,42,0
fepowl,1,0,0
ferhaw,0,127,0
fieldf,2,65,0
fiespa,1011,10166,8
finch1,6,31,0
fiscro,223,516,3
flaowl,1,0,0
flctan,0,390,1
flycat1,8,471,0
forter,61,7411,8
fotfly,0,637,1
foxsp1,71,825,1
foxspa,405,5632,3
fragul,15,3302,15
fuwduc,0,96,0
gadwal,48,4990,9
gadwal1,0,32,0
gamqua,0,3,0
gargan,0,237,3
gbbgul,0,1823,2
gcrfin,0,25,0
glagul,0,1356,0
gloibi,0,2269,7
glwgul,0,9,1
gnttow,0,3,0
gnwtea,61,6011,5
gnwtea1,0,36,0
gockin,270,7196,2
gocspa,3,223,1
godwit1,0,11,0
goleag,1,1728,3
golphe,0,7,0
goose1,5,160,0
gowwar,559,7261,9
gragoo,0,38,0
gragoo1,2,665,0
gragoo2,0,3,0
graher1,0,1,0
graspa,687,6964,7
grawar,0,9,0
grbani,0,3,0
grbher,7,1296,3
grbher3,124,29247,13
grcfly,890,10707,7
grebe1,0,31,0
grecor,0,1,0
grecor4,0,7,0
greegr,33,22744,23
greegr2,0,18,0
grekis,1,0,0
greprc1,0,1,2
gresca,1,4312,2
gretit1,20,285,0
gretit2,0,1,0
gretit3,0,5,0
greyel,219,10056,8
grhowl,312,9188,24
grnher,231,24836,16
grnher1,1,16,0
grnvie1,0,178,1
grouse1,1,1,0
grpchi,21,1048,7
grtgra,32,730,0
grtgra2,0,12,0
grwher,0,76,0
grwpel1,0,5,0
grycat,1295,16736,17
gryfly,0,4,0
gryjay,11,583,4
gryjay1,3,50,1
grykin,0,9,0
grypar,3,266,2
gubter2,0,11,1
gwcspa,2,249,2
gwfgoo,95,6190,20
gwfgoo1,0,1,0
gwfgoo2,5,115,0
gxwibi1,0,24,0
gycrof4,0,14,1
gycthr,159,3154,2
gyhjun,0,16,0
haiwoo,386,7018,5
haiwoo2,40,271,0
hamfly,0,11,0
