rowname,Estimate,Std..Error,z.value,Pr...z..,species
(Intercept),-2.9422129506464025,0.13020352243691108,-22.597030368913597,4.635138251470374e-113,Acadian Flycatcher
log10(previous_checklists + 1),-0.16657625945484153,0.044237005386442735,-3.7655410441931036,1.6618881934212556e-4,Acadian Flycatcher
MSID_prop,-0.5994249194322365,0.22955947686949468,-2.6111965735703935,0.009022601480216134,Acadian Flycatcher
occur,6.2225898308371645,1.1810734698340923,5.268588271406404,1.374769302207301e-7,Acadian Flycatcher
log10(previous_checklists + 1):MSID_prop,0.1667470088841069,0.0845552098206055,1.9720489043535179,0.04860402402888612,Acadian Flycatcher
log10(previous_checklists + 1):occur,0.5819002193935322,0.42301435436602663,1.3756039561958329,0.168944281202508,Acadian Flycatcher
MSID_prop:occur,5.281535094095662,2.171222914203503,2.432516283586273,0.014994317281413158,Acadian Flycatcher
log10(previous_checklists + 1):MSID_prop:occur,-1.7321692237907538,0.8233737665210208,-2.10374594652152,0.03540061418721327,Acadian Flycatcher
(Intercept),-2.5176267913419603,0.12001466165743961,-20.977660200618452,1.0493083273115992e-97,Acadian Flycatcher
log10(previous_checklists + 1),-0.18381346576380508,0.04261314655892222,-4.313538910102351,1.6066184792844887e-5,Acadian Flycatcher
log10(MSID_total + 1),-0.5865468546192111,0.08681692270308937,-6.75613505243879,1.4172132599583391e-11,Acadian Flycatcher
occur,3.9611628843642634,1.1111822083074405,3.564818492187641,3.641080737865032e-4,Acadian Flycatcher
log10(previous_checklists + 1):log10(MSID_total + 1),0.08258658311169383,0.030006370216225892,2.752301678496097,0.005917797795046222,Acadian Flycatcher
log10(previous_checklists + 1):occur,0.8986300262031156,0.40522463910475337,2.2176095416814317,0.026581466744603603,Acadian Flycatcher
log10(MSID_total + 1):occur,3.7724235338123893,1.0228845542428138,3.6880247317889268,2.2600168802205644e-4,Acadian Flycatcher
log10(previous_checklists + 1):log10(MSID_total + 1):occur,-0.9461847839039945,0.3514694537350655,-2.692082551837407,0.0071007366778615055,Acadian Flycatcher
